# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
NonBlockingReadAction.finalizedExecutionTimeUs,1774173716282000000,1774173743839000000,161412
NonBlockingReadAction.finalizedExecutionsCount,1774173716282000000,1774173743839000000,15
FlushQueue.executionTime90PNs,1774173716282000000,1774173743839000000,249855
FlushQueue.waitingTime90PNs,1774173716282000000,1774173743839000000,10737418239
FlushQueue.waitingTimeMaxNs,1774173716282000000,1774173743839000000,17179869183
AWTEventQueue.dispatchTimeMaxNs,1774173716282000000,1774173743839000000,22817013759
WriteAction.executionsCount,1774173716282000000,1774173743839000000,1
NonBlockingReadAction.failedExecutionTimeUs,1774173716282000000,1774173743839000000,0
FlushQueue.queueSizeMax,1774173716282000000,1774173743839000000,539
NonBlockingReadAction.failedExecutionsCount,1774173716282000000,1774173743839000000,0
FlushQueue.executionTimeAvgNs,1774173716282000000,1774173743839000000,316535.6449348044
ReadAction.executionsCount,1774173716282000000,1774173743839000000,50083
AWTEventQueue.dispatchTimeAvgNs,1774173716282000000,1774173743839000000,1.3725647103244837E7
FlushQueue.executionTimeMaxNs,1774173716282000000,1774173743839000000,102236159
FlushQueue.waitingTimeAvgNs,1774173716282000000,1774173743839000000,3.3311882871654963E9
AWTEventQueue.dispatchTimeTotalNS,1774173716282000000,1774173743839000000,23224955500
FlushQueue.queueSizeAvg,1774173716282000000,1774173743839000000,196.06619859578737
AWTEventQueue.eventsDispatched,1774173716282000000,1774173743839000000,1695
AWTEventQueue.dispatchTime90PNs,1774173716282000000,1774173743839000000,113663
FlushQueue.queueSize90P,1774173716282000000,1774173743839000000,469
FlushQueue.tasksExecuted,1774173716282000000,1774173743839000000,997
VFS.fileChildByName,1774173716282000000,1774173743839000000,10
VFS.fileByIdCache.misses,1774173716282000000,1774173743839000000,0
VFS.invertedFileNameIndex.requests,1774173716282000000,1774173743839000000,0
VFS.fileByIdCache.hits,1774173716282000000,1774173743839000000,0
writeAction.wait.ms,1774173716282000000,1774173743839000000,0
writeAction.median.wait.ms,1774173716282000000,1774173743839000000,0
writeAction.count,1774173716282000000,1774173743839000000,1
writeAction.max.wait.ms,1774173716282000000,1774173743839000000,0
MappedFileStorage.totalTimeSpentOnMappingUs,1774173716282000000,1774173743839000000,3329028
DirectByteBufferAllocator.reclaimed,1774173716282000000,1774173743839000000,43
FilePageCacheLockFree.totalBytesWritten,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1774173716282000000,1774173743839000000,0
FilePageCache.disposedBuffers,1774173716282000000,1774173743839000000,196
FilePageCacheLockFree.totalPagesHandedOver,1774173716282000000,1774173743839000000,0
FilePageCacheLockFree.totalBytesRead,1774173716282000000,1774173743839000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1774173716282000000,1774173743839000000,0
FilePageCache.uncachedFileAccess,1774173716282000000,1774173743839000000,331
FilePageCache.maxCacheSizeInBytes,1774173716282000000,1774173743839000000,202375168
