# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCache.disposedBuffers,1774176113157000000,1774176139926000000,196
FilePageCacheLockFree.totalBytesWritten,1774176113157000000,1774176139926000000,0
FilePageCache.uncachedFileAccess,1774176113157000000,1774176139926000000,110
DirectByteBufferAllocator.reclaimed,1774176113157000000,1774176139926000000,43
FilePageCacheLockFree.totalPagesRequested,1774176113157000000,1774176139926000000,0
FilePageCache.totalPageDisposalsUs,1774176113157000000,1774176139926000000,2620
FilePageCache.maxCacheSizeInBytes,1774176113157000000,1774176139926000000,202375168
FilePageCacheLockFree.totalBytesRead,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.housekeeperTurnsDone,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.heapBytesInUse,1774176113157000000,1774176139926000000,0
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1774176113157000000,1774176139926000000,41943040
FilePageCacheLockFree.totalBytesRequested,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.nativeBytesInUse,1774176113157000000,1774176139926000000,0
MappedFileStorage.totalPagesMapped,1774176113157000000,1774176139926000000,0
FilePageCache.pageLoads,1774176113157000000,1774176139926000000,196
FilePageCacheLockFree.housekeeperTurnsSkipped,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.totalPagesWritten,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.totalPagesHandedOver,1774176113157000000,1774176139926000000,0
FilePageCacheLockFree.totalPagesReadMs,1774176113157000000,1774176139926000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1774176113157000000,1774176139926000000,0
workspaceModel.cachedValueWithParameters.from.cache.ms,1774176113157000000,1774176139926000000,0
workspaceModel.initializing.ms,1774176113157000000,1774176139926000000,0
workspaceModel.cachedValue.calculated.ms,1774176113157000000,1774176139926000000,1
workspaceModel.cachedValue.total.get.ms,1774176113157000000,1774176139926000000,1
workspaceModel.updates.count,1774176113157000000,1774176139926000000,0
workspaceModel.update.unloaded.entities.ms,1774176113157000000,1774176139926000000,0
workspaceModel.cachedValueWithParameters.total.get.ms,1774176113157000000,1774176139926000000,0
workspaceModel.pre.handlers.ms,1774176113157000000,1774176139926000000,0
workspaceModel.cachedValue.from.cache.ms,1774176113157000000,1774176139926000000,0
workspaceModel.check.recursive.update.ms,1774176113157000000,1774176139926000000,0
workspaceModel.loading.total.ms,1774176113157000000,1774176139926000000,149
workspaceModel.cachedValueWithParameters.calculated.ms,1774176113157000000,1774176139926000000,0
workspaceModel.replace.project.model.ms,1774176113157000000,1774176139926000000,0
workspaceModel.full.replace.project.model.ms,1774176113157000000,1774176139926000000,0
workspaceModel.updates.ms,1774176113157000000,1774176139926000000,0
workspaceModel.updates.precise.ms,1774176113157000000,1774176139926000000,0
workspaceModel.cachedValueWithParameters.clear.ms,1774176113157000000,1774176139926000000,0
workspaceModel.collect.changes.ms,1774176113157000000,1774176139926000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774176113157000000,1774176139926000000,3
workspaceModel.init.bridges.ms,1774176113157000000,1774176139926000000,0
workspaceModel.to.snapshot.ms,1774176113157000000,1774176139926000000,0
workspaceModel.loading.from.cache.ms,1774176113157000000,1774176139926000000,119
workspaceModel.cachedValue.clear.ms,1774176113157000000,1774176139926000000,0
FlushQueue.waitingTimeMaxNs,1774176113157000000,1774176139926000000,0
WriteAction.executionsCount,1774176113157000000,1774176139926000000,1
AWTEventQueue.dispatchTime90PNs,1774176113157000000,1774176139926000000,0
FlushQueue.queueSizeMax,1774176113157000000,1774176139926000000,0
FlushQueue.waitingTime90PNs,1774176113157000000,1774176139926000000,0
FlushQueue.executionTime90PNs,1774176113157000000,1774176139926000000,0
FlushQueue.waitingTimeAvgNs,1774176113157000000,1774176139926000000,0.0
AWTEventQueue.dispatchTimeMaxNs,1774176113157000000,1774176139926000000,0
NonBlockingReadAction.failedExecutionsCount,1774176113157000000,1774176139926000000,0
FlushQueue.executionTimeMaxNs,1774176113157000000,1774176139926000000,0
NonBlockingReadAction.failedExecutionTimeUs,1774176113157000000,1774176139926000000,0
NonBlockingReadAction.finalizedExecutionTimeUs,1774176113157000000,1774176139926000000,149156
ReadAction.executionsCount,1774176113157000000,1774176139926000000,50085
AWTEventQueue.dispatchTimeTotalNS,1774176113157000000,1774176139926000000,22572766500
AWTEventQueue.dispatchTimeAvgNs,1774176113157000000,1774176139926000000,0.0
FlushQueue.executionTimeAvgNs,1774176113157000000,1774176139926000000,0.0
AWTEventQueue.eventsDispatched,1774176113157000000,1774176139926000000,0
FlushQueue.queueSize90P,1774176113157000000,1774176139926000000,0
FlushQueue.tasksExecuted,1774176113157000000,1774176139926000000,0
FlushQueue.queueSizeAvg,1774176113157000000,1774176139926000000,0.0
NonBlockingReadAction.finalizedExecutionsCount,1774176113157000000,1774176139926000000,15
cacheStateStorage.get.counter,1774176113157000000,1774176139926000000,10
cacheStateStorage.set.counter,1774176113157000000,1774176139926000000,0
cacheStateStorage.set.duration,1774176113157000000,1774176139926000000,0
cacheStateStorage.get.duration,1774176113157000000,1774176139926000000,0
